First Time Buyer Housing Affordability Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QTR,CA,US,Alameda,Amador,Butte,Calaveras,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,LA,Madera,Marin,Mariposa And Tuolumne,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne County,Ventura,Yolo,Yuba,,,,,,
2017.2,47%,71%,37%,60%,56%,66%,51%,NA,58%,64%,NA,55%,70%,70%,55%,79%,46%,64%,30%,66%,45%,67%,52%,40%,45%,59%,40%,62%,63%,58%,63%,54%,68%,45%,22%,61%,46%,24%,33%,32%,33%,65%,64%,63%,45%,65%,71%,74%,69%,64%,49%,52%,62%,,,,,,
2017.3,47%,71%,38%,62%,57%,63%,53%,NA,59%,63%,NA,53%,70%,70%,55%,78%,40%,63%,32%,68%,46%,66%,46%,41%,47%,59%,40%,63%,63%,57%,61%,53%,68%,45%,24%,59%,43%,25%,39%,33%,34%,66%,66%,63%,45%,64%,70%,73%,68%,64%,49%,51%,62%,,,,,,
2017.4,47%,71%,38%,61%,56%,67%,54%,NA,60%,63%,NA,53%,70%,69%,52%,79%,43%,67%,31%,65%,46%,67%,44%,40%,46%,58%,40%,63%,62%,57%,61%,52%,67%,45%,20%,59%,44%,24%,35%,30%,33%,65%,67%,63%,43%,64%,70%,73%,69%,65%,48%,51%,61%,,,,,,
2018.1,50%,72%,40%,63%,58%,63%,55%,NA,60%,64%,NA,55%,71%,71%,57%,80%,45%,68%,30%,63%,43%,62%,25%,42%,47%,54%,39%,63%,72%,58%,62%,54%,68%,46%,22%,58%,45%,23%,41%,30%,29%,67%,65%,61%,41%,66%,65%,69%,67%,67%,52%,59%,65%,,,,,,
2018.2,45%,69%,33%,64%,56%,61%,50%,NA,57%,63%,NA,52%,69%,70%,54%,77%,44%,67%,28%,58%,41%,61%,36%,38%,45%,51%,37%,60%,60%,57%,60%,53%,66%,43%,22%,56%,43%,21%,39%,28%,26%,64%,65%,59%,39%,64%,62%,69%,65%,63%,49%,52%,63%,,,,,,
2018.3,45%,69%,35%,62%,56%,60%,52%,NA,60%,62%,NA,52%,68%,70%,57%,79%,39%,67%,31%,59%,41%,59%,31%,39%,43%,51%,37%,61%,61%,57%,60%,50%,65%,42%,22%,56%,41%,22%,45%,32%,25%,62%,64%,58%,41%,63%,62%,68%,64%,61%,49%,54%,65%,,,,,,
2018.4,46%,70%,38%,62%,53%,62%,52%,NA,61%,62%,NA,53%,69%,70%,57%,79%,42%,66%,30%,57%,41%,59%,34%,39%,43%,54%,38%,61%,60%,57%,60%,51%,65%,43%,24%,56%,42%,24%,45%,33%,26%,63%,67%,59%,42%,63%,61%,66%,64%,66%,50%,55%,62%,,,,,,
2019.1,50%,72%,43%,63%,50%,63%,57%,NA,59%,63%,NA,54%,67%,75%,62%,76%,45%,69%,34%,60%,46%,64%,28%,45%,47%,58%,42%,64%,64%,57%,62%,51%,67%,47%,26%,61%,47%,28%,44%,36%,32%,62%,69%,64%,48%,65%,63%,60%,68%,62%,50%,56%,64%,,,,,,
2019.2,47%,70%,40%,57%,50%,61%,54%,NA,57%,63%,NA,54%,66%,72%,62%,76%,45%,68%,32%,62%,46%,64%,34%,43%,46%,58%,41%,63%,55%,57%,61%,55%,66%,46%,24%,60%,45%,26%,36%,34%,32%,64%,64%,64%,47%,64%,62%,64%,67%,64%,50%,55%,63%,,,,,,
2019.3,48%,70%,43%,65%,53%,64%,57%,NA,59%,64%,NA,54%,66%,72%,64%,77%,41%,68%,36%,61%,46%,65%,36%,43%,47%,59%,43%,65%,61%,58%,62%,55%,67%,48%,27%,61%,47%,30%,39%,38%,37%,64%,66%,64%,48%,64%,63%,63%,68%,65%,50%,55%,65%,,,,,,
2019.4,48%,71%,44%,65%,54%,62%,57%,NA,62%,63%,NA,55%,66%,73%,62%,75%,43%,67%,35%,63%,46%,66%,47%,42%,47%,58%,43%,65%,67%,58%,62%,54%,67%,47%,27%,62%,48%,30%,40%,38%,36%,65%,66%,64%,49%,65%,63%,63%,68%,67%,50%,57%,65%,,,,,,
2020.1,52%,73%,45%,68%,57%,63%,60%,63%,63%,66%,60%,60%,68%,75%,66%,76%,47%,69%,37%,63%,53%,65%,37%,45%,52%,61%,41%,64%,64%,60%,63%,62%,69%,49%,29%,62%,50%,30%,45%,38%,38%,67%,67%,65%,52%,67%,67%,65%,68%,68%,52%,59%,68%,,,,,,
2020.2,50%,71%,41%,67%,54%,63%,55%,56%,60%,65%,60%,59%,66%,74%,62%,79%,47%,68%,32%,60%,54%,65%,35%,44%,51%,60%,42%,62%,67%,59%,62%,58%,69%,48%,27%,60%,49%,27%,48%,36%,38%,67%,69%,63%,50%,65%,66%,69%,67%,68%,50%,58%,67%,,,,,,
2020.3,45%,69%,39%,66%,52%,62%,51%,54%,56%,64%,63%,57%,65%,75%,62%,76%,40%,66%,30%,53%,47%,61%,34%,36%,45%,56%,39%,60%,56%,56%,60%,54%,67%,44%,28%,60%,47%,26%,29%,36%,31%,66%,66%,62%,48%,64%,64%,64%,66%,67%,46%,53%,66%,,,,,,
2020.4,43%,69%,38%,65%,51%,58%,51%,51%,57%,63%,62%,54%,64%,73%,61%,79%,41%,66%,32%,57%,44%,62%,26%,34%,46%,55%,36%,59%,60%,55%,59%,52%,64%,43%,28%,58%,44%,27%,28%,35%,30%,64%,65%,61%,47%,62%,63%,62%,66%,65%,46%,53%,64%,,,,,,
2021.1,44%,69%,37%,61%,53%,57%,50%,51%,54%,62%,60%,55%,64%,74%,62%,75%,41%,63%,32%,55%,44%,63%,8%,33%,41%,53%,34%,57%,63%,53%,58%,53%,62%,43%,27%,59%,44%,26%,26%,33%,31%,64%,66%,62%,46%,60%,62%,62%,64%,64%,45%,54%,61%,,,,,,
2021.2,40%,65%,33%,59%,50%,54%,43%,52%,52%,59%,61%,50%,62%,72%,60%,76%,39%,62%,30%,56%,40%,61%,23%,34%,42%,51%,32%,55%,57%,51%,56%,48%,61%,39%,26%,55%,40%,24%,26%,30%,28%,62%,61%,60%,45%,59%,59%,55%,62%,62%,42%,48%,56%,,,,,,
2021.3,42%,67%,35%,61%,52%,56%,50%,52%,55%,59%,61%,51%,62%,73%,60%,80%,35%,62%,32%,55%,42%,61%,31%,38%,42%,52%,35%,57%,57%,52%,58%,50%,61%,41%,29%,56%,43%,26%,32%,33%,31%,62%,59%,62%,48%,59%,61%,56%,63%,62%,45%,50%,55%,,,,,,
2021.4,44%,67%,37%,61%,52%,58%,53%,57%,58%,58%,60%,50%,61%,72%,61%,77%,39%,61%,35%,51%,41%,62%,32%,37%,44%,55%,34%,59%,58%,51%,58%,51%,61%,42%,29%,57%,42%,26%,37%,33%,32%,63%,62%,63%,49%,59%,60%,58%,62%,63%,44%,51%,53%,,,,,,
2022.1,43%,65%,33%,60%,52%,56%,50%,51%,52%,55%,57%,50%,57%,70%,58%,76%,39%,58%,32%,51%,45%,59%,20%,35%,39%,52%,29%,56%,57%,49%,55%,48%,59%,39%,28%,55%,38%,25%,27%,29%,26%,61%,61%,61%,45%,56%,59%,54%,60%,58%,42%,47%,52%,,,,,,
2022.2,34%,58%,25%,55%,48%,50%,41%,51%,46%,51%,58%,45%,52%,62%,54%,72%,33%,54%,24%,44%,34%,55%,18%,31%,33%,46%,24%,49%,54%,43%,49%,39%,53%,31%,25%,48%,30%,24%,22%,26%,24%,56%,50%,54%,38%,51%,54%,52%,54%,54%,34%,42%,49%,,,,,,
2022.2,36%,59%,31%,56%,50%,54%,45%,46%,50%,51%,56%,42%,53%,62%,53%,73%,29%,55%,25%,42%,36%,55%,20%,30%,28%,45%,26%,52%,50%,44%,50%,44%,52%,33%,28%,50%,30%,27%,25%,28%,25%,58%,50%,54%,39%,51%,53%,56%,55%,55%,36%,43%,50%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
